
   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   182/17    0.000    0.000    0.087    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      454    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      454    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    225/1    0.000    0.000    0.097    0.097 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      145    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  145/142    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    145/1    0.001    0.000    0.097    0.097 <frozen importlib._bootstrap>:650(_load_unlocked)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      454    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      466    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      466    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      154    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    157/1    0.000    0.000    0.097    0.097 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    157/1    0.001    0.000    0.097    0.097 <frozen importlib._bootstrap>:986(_find_and_load)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    33/31    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
    33/22    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       14    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      152    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      152    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      293    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      220    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      110    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1456    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1456    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    110/1    0.000    0.000    0.097    0.097 <frozen importlib._bootstrap_external>:777(exec_module)
      613    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      110    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      110    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       12    0.001    0.000    0.191    0.016 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:234(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
        1    0.000    0.000    0.005    0.005 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:306(<genexpr>)
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.002    0.002 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FuncPtr)
       43    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:404(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:444(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:445(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:506(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:507(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6673(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6674(type_aliases_gen)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6714(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
